Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All,Firefox 87.0,,,2021-04-12 12:33:40,2021-04-12 12:34:47,1m - 7.726s,PASSED
,,,,,,,
Test Cases/Bad login,Firefox 87.0,,,2021-04-12 12:33:41,2021-04-12 12:33:50,9.025s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:33:42,2021-04-12 12:33:47,5.730s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 87.0,,,2021-04-12 12:33:47,2021-04-12 12:33:48,1.111s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""seb"")",Firefox 87.0,,,2021-04-12 12:33:48,2021-04-12 12:33:49,0.799s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""HeCM15nHKBI="")",Firefox 87.0,,,2021-04-12 12:33:49,2021-04-12 12:33:50,0.413s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Firefox 87.0,,,2021-04-12 12:33:50,2021-04-12 12:33:50,0.580s,PASSED
,,,,,,,
Test Cases/Non-existent login,Firefox 87.0,,,2021-04-12 12:33:50,2021-04-12 12:33:59,8.411s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:33:51,2021-04-12 12:33:56,5.602s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 87.0,,,2021-04-12 12:33:56,2021-04-12 12:33:57,0.933s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""sebdonotexist"")",Firefox 87.0,,,2021-04-12 12:33:57,2021-04-12 12:33:58,0.758s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Firefox 87.0,,,2021-04-12 12:33:58,2021-04-12 12:33:58,0.353s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Firefox 87.0,,,2021-04-12 12:33:58,2021-04-12 12:33:59,0.480s,PASSED
,,,,,,,
Test Cases/Good login,Firefox 87.0,,,2021-04-12 12:33:59,2021-04-12 12:34:07,8.218s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:33:59,2021-04-12 12:34:05,6.202s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 87.0,,,2021-04-12 12:34:05,2021-04-12 12:34:05,0.177s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Username_username""), ""seb"")",Firefox 87.0,,,2021-04-12 12:34:05,2021-04-12 12:34:06,0.737s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Firefox 87.0,,,2021-04-12 12:34:06,2021-04-12 12:34:06,0.354s,PASSED
"click(findTestObject(""Object Repository/Page_Login/button_Sign In""))",Firefox 87.0,,,2021-04-12 12:34:06,2021-04-12 12:34:07,0.477s,PASSED
,,,,,,,
